Product_Sold | Description,Old Price,Discount Percentages,Current Prices,Rating_out_of_5,Number of Ratings,Link,Unit Available,Sale Type,Brand,Use_Case,RAM,ROM,USD Price,Seller Name,Seller Score,Door Delivery Fees,Door Delivery Date,Door Delivery Ready Time,Pickup Fees,Pickup Date,Pickup Ready Time
HP ENVY 13-ba1018ne - I7-1165G7 -16GB -1TB SSD  MX450 2GB,0.0,0.0,94900.0,0.0,0.0,https://www.jumia.com.eg/apple-macbook-pro-14-m1pro-8c-cpu-14c-gpu16gb512gbsilverar-27347784.html,2,information not available,HP,Unknown,16 GB ,1TB SSD,3071.2,Techmart Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"HP Laptop Pavilion 15-ec2027ne Gaming Ryzen 7-5800H - 16GB RAM - 512GB SSD - RTX 3050 4GB - 15.6"" FHD- 144Hz - backlit A/E KB-- Black - DOS ""No Windows""",0.0,0.0,29800.0,0.0,0.0,https://www.jumia.com.eg/hp-pavilion-gaming-15-dk2104ne-core-i5-11300h-16g-ram-512vnme-vga-nvidia-4g-gtx-1650-15.6-fhd-60hz-free-dos-no-windows-shadow-black-26806525.html,8,Back to school offers,HP,Laptop,16 GB ,512GB SSD,964.4,Elite for trade Marketplace,50.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Lenovo IdeaPad 5 ( Intel I7-1165G7 - Ram 16GB - 512GB SSD - NVIDIA MX450 2GB -15.6 FHD-Graphite Grey- DOS),1795.2,50.0,897.6,0.0,0.0,https://www.jumia.com.eg/generic-phanteks-combo-light-strip-argb-neon-computer-case-30734379.html,2,information not available,Lenovo,Unknown,16 GB ,512GB SSD,29.05,JG-liliann,74.0,EGP 384.55,24 September,10hrs 43mins,EGP 384.55,24 September,10hrs 43mins
"HP ProBook 450 G8 Laptop - Intel Core I7-1165G7 - 8GB RAM - 512GB SSD - 15.6-inch FHD - Intel Iris X? Graphics - FreeDOS ""No Windows"" - Silver - English/Arabic Keyboard",1193.6,50.0,596.8,0.0,0.0,https://www.jumia.com.eg/generic-licheers-cell-phone-stand-angle-height-adjustable-foldable-30916560.html,1,information not available,HP,Laptop,8 GB ,512GB SSD,19.31,JG-liliann,74.0,EGP 273.26,24 September,10hrs 43mins,EGP 273.26,24 September,10hrs 43mins
"Fujitsu A3511 - Core I3 1115G4 - 8GB - 256GB SSD  - DOS ""No Windows""",20999.0,4.0,20221.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i7-1165g7-12gb-ram-1tb-hdd-256gb-ssd-15.6-inch-fhd-nvidia-mx-350-2gb-silver-44860785.html,5,Back to school offers,Fujitsu,Unknown,8 GB ,256GB SSD,654.4,Jumia,100.0,Free delivery,05 September,5hrs 13mins,Free delivery,05 September,5hrs 13mins
Asus Vivobook 16X D1603QA-MB005W - 16.0-inch AMD Ryzen 5 5600H 8GB 512GB SSD AMD Radeon Graphics - Transparent Silver,23208.0,19.0,18850.0,5.0,1.0,https://www.jumia.com.eg/dell-inspiron-5406-2-in-1-laptop-intel-core-i3-8gb-ram-256gb-ssd-14.0-inch-hd-intel-gpu-windows-10-platinum-silver-33207941.html,1,Back to school offers,Asus,Unknown,8 GB ,512GB SSD,610.03,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
Acer ASPIRE 5 Laptop – Intel Core I7 – 1165G7 - 12GB RAM -1TB SSD - 15.6 Inch FHD –NVIDIA 450 2GB – Silver,17499.0,6.0,16525.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i5-1135g7-8gb-ram-256-ssd-15.6-inch-fhd-nvidia-mx-350-2gb-silver-44860776.html,1,Back to school offers,Intel Core I7,Laptop,12 GB ,1TB SSD,534.79,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
"Lenovo ThinkPad E14 – Intel Core i7 1165G7 – 8GB RAM – 512 SSD – 14 Inch FHD – NVIDIA MX450 – FreeDOS ""No Windows"" – Black",27990.0,8.0,25665.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-5-a515-57g-70gt-notebook-laptop-intel-core-i7-8gb-ram-512-ssd-nvidia-geforce-rtx-2050-15.6-inch-fhd-windows-11-steel-grey-44356858.html,2,Back to school offers,Lenovo,Unknown,8 GB ,512 SSD,830.58,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
DELL Vostro 3515 Laptop - AMD RYZEN 5 - 3450U - 8GB RAM - 512 GB SSD - AMD VGA 8 Graphics - 15.6 Inch FHD - Ubuntu - Black,12899.0,5.0,12199.0,0.0,0.0,https://www.jumia.com.eg/asus-15-x515fa-bq8g3w-intelr-coretm-i3-10110u-8gb-1tb-hdd-intelr-uhd-graphics-15.6-fhd-win-11-slate-grey-47442226.html,1,information not available,DELL,Laptop,8 GB ,512 GB SSD,394.79,Brothers Computer Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Acer ASPIRE 5 Laptop - AMD RYZEN7-5700U - 8GB RAM – 512 SSD – 15.6 Inch FHD – AMD RADEON RX640 2GB – Silver,53680.45,16.0,45176.0,0.0,0.0,https://www.jumia.com.eg/hp-6a3s1ea-victus-gaming-16-d1012ne-laptop-intel-core-i7-12700h-16gb-ram-1tb-ssd-16.1-inch-fhd-h-mica-silver-freedos-no-windows-37851590.html,3,Back to school offers,Unknown,Laptop,8 GB ,512 SSD,1462.01,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
